City1,City2,Distance_km,Distance_miles,Duration_minutes,Duration_hours
"Bakersfield, CA","Livermore, CA",388.5,241.4,268.42,4.47
"Clovis, CA","Livermore, CA",233.2,144.9,177.68,2.96
"Fremont, CA","Livermore, CA",31.2,19.4,30.30,0.51
"Fresno, CA","Livermore, CA",229.1,142.4,170.36,2.84
"Lemoore, CA","Livermore, CA",272.1,169.1,187.38,3.12
"Los Angeles, CA","Livermore, CA",547.5,340.2,376.73,6.28
"Los Banos, CA","Livermore, CA",128.5,79.8,91.55,1.53
"Merced, CA","Livermore, CA",150.0,93.2,125.43,2.09
"Modesto, CA","Livermore, CA",81.4,50.6,61.56,1.03
"Morgan Hill, CA","Livermore, CA",82.3,51.1,66.14,1.10
"Oakland, CA","Livermore, CA",53.2,33.1,42.28,0.70
"Oceanside, CA","Livermore, CA",681.3,423.3,473.72,7.90
"Paso Robles, CA","Livermore, CA",299.2,185.9,220.06,3.67
"Patterson, CA","Livermore, CA",73.0,45.4,53.11,0.89
"Riverside, CA","Livermore, CA",630.3,391.7,437.69,7.29
"Sacramento, CA","Livermore, CA",142.1,88.3,100.99,1.68
"Salinas, CA","Livermore, CA",142.3,88.4,107.81,1.80
"San Diego, CA","Livermore, CA",740.7,460.2,517.13,8.62
"San Francisco, CA","Livermore, CA",70.9,44.1,57.57,0.96
"San Jose, CA","Livermore, CA",50.3,31.3,43.96,0.73
"Stockton, CA","Livermore, CA",66.7,41.5,50.33,0.84
"Turlock, CA","Livermore, CA",98.9,61.5,76.59,1.28
"Visalia, CA","Livermore, CA",295.8,183.8,216.50,3.61
