City1,City2,Distance_km,Distance_miles,Duration_minutes,Duration_hours
"Bakersfield, CA","Los Angeles, CA",180.1,111.9,131.75,2.20
"Clovis, CA","Los Angeles, CA",357.6,222.2,255.58,4.26
"Fremont, CA","Los Angeles, CA",577.7,359.0,404.69,6.74
"Fresno, CA","Los Angeles, CA",352.3,218.9,246.80,4.11
"Lemoore, CA","Los Angeles, CA",320.4,199.1,231.85,3.86
"Los Angeles, CA","Los Angeles, CA",0.0,0.0,0.00,0.00
"Los Banos, CA","Los Angeles, CA",427.2,265.4,299.99,5.00
"Merced, CA","Los Angeles, CA",446.0,277.1,330.03,5.50
"Modesto, CA","Los Angeles, CA",502.0,311.9,352.77,5.88
"Morgan Hill, CA","Los Angeles, CA",514.0,319.4,362.98,6.05
"Oakland, CA","Los Angeles, CA",595.8,370.2,412.48,6.87
"Paso Robles, CA","Los Angeles, CA",333.9,207.5,241.37,4.02
"Patterson, CA","Los Angeles, CA",484.0,300.7,333.74,5.56
"Riverside, CA","Los Angeles, CA",88.9,55.2,68.28,1.14
"Sacramento, CA","Los Angeles, CA",618.0,384.0,423.96,7.07
"Salinas, CA","Los Angeles, CA",487.6,303.0,352.03,5.87
"San Diego, CA","Los Angeles, CA",194.3,120.7,145.57,2.43
"San Francisco, CA","Los Angeles, CA",613.5,381.2,427.77,7.13
"San Jose, CA","Los Angeles, CA",546.7,339.7,386.24,6.44
"Stockton, CA","Los Angeles, CA",542.7,337.2,373.30,6.22
"Turlock, CA","Los Angeles, CA",480.5,298.6,338.13,5.64
"Visalia, CA","Los Angeles, CA",295.1,183.4,213.20,3.55
