City1,City2,Distance_km,Distance_miles,Duration_minutes,Duration_hours
"Bakersfield, CA","Patterson, CA",325.0,202.0,225.28,3.75
"Clovis, CA","Patterson, CA",160.4,99.7,124.78,2.08
"Fremont, CA","Patterson, CA",103.6,64.4,81.22,1.35
"Fresno, CA","Patterson, CA",156.3,97.1,117.46,1.96
"Lemoore, CA","Patterson, CA",208.7,129.7,144.24,2.40
"Los Angeles, CA","Patterson, CA",484.0,300.8,333.58,5.56
"Los Banos, CA","Patterson, CA",65.0,40.4,48.41,0.81
"Merced, CA","Patterson, CA",71.8,44.6,80.40,1.34
"Modesto, CA","Patterson, CA",27.3,17.0,25.93,0.43
"Morgan Hill, CA","Patterson, CA",133.4,82.9,103.92,1.73
"Oakland, CA","Patterson, CA",121.6,75.6,89.01,1.48
"Oceanside, CA","Patterson, CA",617.9,383.9,430.58,7.18
"Paso Robles, CA","Patterson, CA",288.5,179.3,209.69,3.49
"Patterson, CA","Patterson, CA",0.0,0.0,0.00,0.00
"Riverside, CA","Patterson, CA",566.9,352.3,394.55,6.58
"Sacramento, CA","Patterson, CA",143.8,89.4,100.49,1.67
"Salinas, CA","Patterson, CA",152.1,94.5,115.98,1.93
"San Diego, CA","Patterson, CA",677.2,420.8,473.99,7.90
"San Francisco, CA","Patterson, CA",139.3,86.6,104.30,1.74
"San Jose, CA","Patterson, CA",122.7,76.3,94.88,1.58
"Stockton, CA","Patterson, CA",68.5,42.6,49.83,0.83
"Turlock, CA","Patterson, CA",26.1,16.2,23.69,0.39
"Visalia, CA","Patterson, CA",223.0,138.6,163.59,2.73
